provinsi,tahun,ipm_forecast,cluster_id,cluster_label
BENGKULU,2026,74.392,0,Cluster A
BENGKULU,2027,74.392,0,Cluster A
LAMPUNG,2025,72.986,1,Cluster B
LAMPUNG,2026,72.986,1,Cluster B
LAMPUNG,2027,72.986,1,Cluster B
KEP. BANGKA BELITUNG,2025,73.765,1,Cluster B
KEP. BANGKA BELITUNG,2026,73.839,1,Cluster B
KEP. BANGKA BELITUNG,2027,73.838,1,Cluster B
KEP. RIAU,2025,78.795,1,Cluster B
KEP. RIAU,2026,78.84,1,Cluster B
KEP. RIAU,2027,78.84,1,Cluster B
DKI JAKARTA,2025,81.001,1,Cluster B
DKI JAKARTA,2026,80.62,1,Cluster B
DKI JAKARTA,2027,80.614,1,Cluster B
JAWA BARAT,2025,74.095,1,Cluster B
JAWA BARAT,2026,73.933,1,Cluster B
JAWA BARAT,2027,73.933,1,Cluster B
JAWA TENGAH,2025,73.056,1,Cluster B
JAWA TENGAH,2026,73.12,1,Cluster B
JAWA TENGAH,2027,73.12,1,Cluster B
DI YOGYAKARTA,2025,80.903,1,Cluster B
DI YOGYAKARTA,2026,80.205,1,Cluster B
DI YOGYAKARTA,2027,80.205,1,Cluster B
JAWA TIMUR,2025,73.671,1,Cluster B
JAWA TIMUR,2026,73.645,1,Cluster B
JAWA TIMUR,2027,73.65,1,Cluster B
BANTEN,2025,75.244,1,Cluster B
BANTEN,2026,75.545,1,Cluster B
BANTEN,2027,75.466,1,Cluster B
BALI,2025,77.476,0,Cluster A
BALI,2026,77.574,0,Cluster A
BALI,2027,77.574,0,Cluster A
NUSA TENGGARA BARAT,2025,74.149,0,Cluster A
NUSA TENGGARA BARAT,2026,74.444,0,Cluster A
NUSA TENGGARA BARAT,2027,74.448,0,Cluster A
NUSA TENGGARA TIMUR,2025,68.354,0,Cluster A
NUSA TENGGARA TIMUR,2026,68.354,0,Cluster A
NUSA TENGGARA TIMUR,2027,68.361,0,Cluster A
KALIMANTAN BARAT,2025,71.153,1,Cluster B
KALIMANTAN BARAT,2026,71.17,1,Cluster B
KALIMANTAN BARAT,2027,71.213,1,Cluster B
KALIMANTAN TENGAH,2025,72.699,1,Cluster B
KALIMANTAN TENGAH,2026,72.705,1,Cluster B
KALIMANTAN TENGAH,2027,72.705,1,Cluster B
KALIMANTAN SELATAN,2025,74.745,1,Cluster B
KALIMANTAN SELATAN,2026,74.74,1,Cluster B
KALIMANTAN SELATAN,2027,74.74,1,Cluster B
KALIMANTAN TIMUR,2025,77.777,1,Cluster B
KALIMANTAN TIMUR,2026,78.193,1,Cluster B
KALIMANTAN TIMUR,2027,78.193,1,Cluster B
KALIMANTAN UTARA,2025,72.673,1,Cluster B
KALIMANTAN UTARA,2026,72.661,1,Cluster B
KALIMANTAN UTARA,2027,72.763,1,Cluster B
SULAWESI UTARA,2025,74.142,1,Cluster B
SULAWESI UTARA,2026,74.187,1,Cluster B
SULAWESI UTARA,2027,74.186,1,Cluster B
SULAWESI TENGAH,2025,71.588,0,Cluster A
SULAWESI TENGAH,2026,71.502,0,Cluster A
SULAWESI TENGAH,2027,71.502,0,Cluster A
SULAWESI SELATAN,2025,71.622,1,Cluster B
SULAWESI SELATAN,2026,71.609,1,Cluster B
SULAWESI SELATAN,2027,71.575,1,Cluster B
SULAWESI TENGGARA,2025,72.605,0,Cluster A
SULAWESI TENGGARA,2026,72.29,0,Cluster A
SULAWESI TENGGARA,2027,72.29,0,Cluster A
GORONTALO,2025,70.528,0,Cluster A
GORONTALO,2026,70.529,0,Cluster A
GORONTALO,2027,70.529,0,Cluster A
SULAWESI BARAT,2025,68.928,0,Cluster A
SULAWESI BARAT,2026,69.022,0,Cluster A
SULAWESI BARAT,2027,69.068,0,Cluster A
MALUKU,2025,73.407,1,Cluster B
MALUKU,2026,73.661,1,Cluster B
MALUKU,2027,73.661,1,Cluster B
MALUKU UTARA,2025,73.102,1,Cluster B
MALUKU UTARA,2026,73.766,1,Cluster B
MALUKU UTARA,2027,73.782,1,Cluster B
PAPUA BARAT,2025,68.372,1,Cluster B
PAPUA BARAT,2026,68.851,1,Cluster B
PAPUA BARAT,2027,68.851,1,Cluster B
PAPUA BARAT DAYA,2025,68.944,1,Cluster B
PAPUA BARAT DAYA,2026,71.473,1,Cluster B
PAPUA BARAT DAYA,2027,71.473,1,Cluster B
PAPUA,2025,68.134,0,Cluster A
PAPUA,2026,68.152,0,Cluster A
PAPUA,2027,68.152,0,Cluster A
PAPUA SELATAN,2025,67.091,0,Cluster A
PAPUA SELATAN,2026,67.375,0,Cluster A
PAPUA SELATAN,2027,67.375,0,Cluster A
PAPUA TENGAH,2025,64.131,0,Cluster A
PAPUA TENGAH,2026,64.121,0,Cluster A
PAPUA TENGAH,2027,64.121,0,Cluster A
PAPUA PEGUNUNGAN,2025,64.111,0,Cluster A
PAPUA PEGUNUNGAN,2026,64.105,0,Cluster A
PAPUA PEGUNUNGAN,2027,64.105,0,Cluster A
